iter	Passed	Remaining
0	2	233
1	4	217
2	6	213
3	8	213
4	11	227
5	14	222
6	16	216
7	18	209
8	20	206
9	23	209
10	25	205
11	27	201
12	29	198
13	31	194
14	33	191
15	37	197
16	39	193
17	41	188
18	43	183
19	44	179
20	47	177
21	49	175
22	51	172
23	53	168
24	55	165
25	57	162
26	58	159
27	61	158
28	63	156
29	66	154
30	68	152
31	70	150
32	72	148
33	75	145
34	77	144
35	80	143
36	82	141
37	85	138
38	87	136
39	89	134
40	92	133
41	93	129
42	96	127
43	98	125
44	100	122
45	103	121
46	106	119
47	108	117
48	111	115
49	113	113
50	115	111
51	117	108
52	122	108
53	125	106
54	126	103
55	129	101
56	131	99
57	134	97
58	137	95
59	139	92
60	141	90
61	144	88
62	147	86
63	149	84
64	152	82
65	155	79
66	157	77
67	160	75
68	163	73
69	166	71
70	168	68
71	171	66
72	173	64
73	176	61
74	178	59
75	180	57
76	183	54
77	185	52
78	187	49
79	190	47
80	192	45
81	195	42
82	197	40
83	199	38
84	202	35
85	205	33
86	207	31
87	209	28
88	211	26
89	213	23
90	215	21
91	218	18
92	220	16
93	222	14
94	224	11
95	226	9
96	228	7
97	231	4
98	234	2
99	237	0
